text,label,category_id
"Canada Is Set For A Big Drop In Home Prices, According To New Reports",Economy/Markets,6
U.S. central bank cuts interest rate for 1st time since 2008,Economy/Markets,6
"Toronto Raptors helped spike Canada's economy in May, StatsCan says",Economy/Markets,6
Peter Navarro: Tariffs are raising revenues,Economy/Markets,6
Trump's former top adviser: tariffs backfiring on US,Economy/Markets,6
Alberta Can Transition from Oil and Gas and Have a Strong Economy. Here's How,Economy/Markets,6
Private Debt Boom Exposes the Dark Side of Rate Cuts,Economy/Markets,6
The two words from Jerome Powell that rocked the financial markets,Economy/Markets,6
Canada Infrastructure Bank executive Nicholas Hann resigns amid growing industry frustration with pace of project approvals,Economy/Markets,6
Prospective Fed nominee Shelton says global economy in 'very dangerous situation' like 1930s,Economy/Markets,6
Equipment dealer blames farm trade wars as plans for aggressive growth stall,Economy/Markets,6
"Fed's Hawkish Rate Cut Suggests Fed Went Too Far in December, Economist Swonk Says",Economy/Markets,6
"Canadian Household Debt Tops $2.2 Trillion, But Growth Drops To 1983 Levels",Economy/Markets,6
Here's what changed in the new Fed statement,Economy/Markets,6
Visualizing the World's Most Innovative Economies,Economy/Markets,6
"China is sourcing more of its farm goods from other countries, and that's a bad sign for the US",Economy/Markets,6
"BOE's Carney on Brexit, Trade Tension, U.K. Economy: Statement",Economy/Markets,6
U.S. Weekly Jobless Claims Rise to 215K,Economy/Markets,6
"U.S., China to keep talking on trade after little progress in Shanghai",Economy/Markets,6
Canadian dollar hits a five-week low against on hawkish Fed comments,Economy/Markets,6
"Canada due for big drop in home prices, according to housing bubble index",Economy/Markets,6
"Gauge of US manufacturing hits lowest since September 2009, raising concerns about the economy",Economy/Markets,6
"Canada's GDP grows 0.2% in May, as manufacturing rebounds",Economy/Markets,6
What the Fed's words say about how dovish it will be after a rate cut,Economy/Markets,6
"Fed cuts rates, signals it may not need to do more",Economy/Markets,6
The cut heard round the world: A guide to the Federal Reserve's pivotal rate decision this afternoon,Economy/Markets,6
GDP stagnant as Hong Kong economy takes trade war hit,Economy/Markets,6
$15 minimum wage not ideal for everyone: CFIB,Economy/Markets,6
UBS plans negative interest rate for rich clients,Economy/Markets,6
Fed's Decision on Cutting Interest Rate,Economy/Markets,6
Will the US cut rates as fast as President Trump wants? | IG Live,Economy/Markets,6
China Buying More U.S. Farm Goods Is a Dead End,Economy/Markets,6
The unemployment rate is at its worst level,Economy/Markets,6
Fed disappoints markets by sounding more 'neutral' than dovish,Economy/Markets,6
Brussels on alert: EU economy grinds to a halt amid fears over imminent no deal meltdown,Economy/Markets,6
GOLDSTEIN: Taxes — do we get what we pay for?,Economy/Markets,6
Opinion: The moral hazard the Federal Reserve has wrought with its interest rate cut,Economy/Markets,6
What happened to the sharing economy?,Economy/Markets,6
Trade War Weighs On Western Automakers In China | OilPrice.com,Economy/Markets,6
Global central banks boost gold reserves by record $15.7 billion in shift away from US dollar,Economy/Markets,6
Shell posts worst financial results since 2016 oil price crash,Economy/Markets,6
Billionaire Vision Visionary Leonardo Del Vecchio Strikes $6 Billion Deal To Expand His Eyewear Empire,Economy/Markets,6
The Asian Century Is Over,Economy/Markets,6
China's PMI Contracts Again: US Trade War Continues to Sting,Economy/Markets,6
Car industry investment plummets in UK,Economy/Markets,6
"Manitoba canola producers face financial crunch amid trade dispute, says KAP president",Economy/Markets,6
"Capitalism is part of solution to climate crisis, says Mark Carney",Economy/Markets,6
